2024-09-04 23:08:45 install libgdbm-dev:amd64 <none> 1.23-3
2024-09-04 23:08:45 status half-installed libgdbm-dev:amd64 1.23-3
2024-09-04 23:08:45 status unpacked libgdbm-dev:amd64 1.23-3
2024-09-04 23:08:45 install liblzma-dev:amd64 <none> 5.4.1-0.2
2024-09-04 23:08:45 status half-installed liblzma-dev:amd64 5.4.1-0.2
2024-09-04 23:08:45 status unpacked liblzma-dev:amd64 5.4.1-0.2
2024-09-04 23:08:45 install libncurses6:amd64 <none> 6.4-4
2024-09-04 23:08:45 status half-installed libncurses6:amd64 6.4-4
2024-09-04 23:08:45 status unpacked libncurses6:amd64 6.4-4
2024-09-04 23:08:45 install libncurses-dev:amd64 <none> 6.4-4
2024-09-04 23:08:45 status half-installed libncurses-dev:amd64 6.4-4
2024-09-04 23:08:45 status unpacked libncurses-dev:amd64 6.4-4
2024-09-04 23:08:45 install libncursesw5-dev:amd64 <none> 6.4-4
2024-09-04 23:08:45 status half-installed libncursesw5-dev:amd64 6.4-4
2024-09-04 23:08:45 status unpacked libncursesw5-dev:amd64 6.4-4
2024-09-04 23:08:45 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2024-09-04 23:08:45 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2024-09-04 23:08:45 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2024-09-04 23:08:45 install libreadline-dev:amd64 <none> 8.2-1.3
2024-09-04 23:08:45 status half-installed libreadline-dev:amd64 8.2-1.3
2024-09-04 23:08:45 status unpacked libreadline-dev:amd64 8.2-1.3
2024-09-04 23:08:45 install libsqlite3-dev:amd64 <none> 3.40.1-2
2024-09-04 23:08:45 status half-installed libsqlite3-dev:amd64 3.40.1-2
2024-09-04 23:08:45 status unpacked libsqlite3-dev:amd64 3.40.1-2
2024-09-04 23:08:45 install libssl-dev:amd64 <none> 3.0.14-1~deb12u2
2024-09-04 23:08:45 status half-installed libssl-dev:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:45 status unpacked libssl-dev:amd64 3.0.14-1~deb12u2
2024-09-04 23:08:45 install libtcl8.6:amd64 <none> 8.6.13+dfsg-2
