2024-10-07 03:59:27 install libc6-dev:amd64 <none> 2.36-9+deb12u8
2024-10-07 03:59:27 status half-installed libc6-dev:amd64 2.36-9+deb12u8
2024-10-07 03:59:28 status unpacked libc6-dev:amd64 2.36-9+deb12u8
2024-10-07 03:59:28 install libisl23:amd64 <none> 0.25-1.1
2024-10-07 03:59:28 status half-installed libisl23:amd64 0.25-1.1
2024-10-07 03:59:28 status unpacked libisl23:amd64 0.25-1.1
2024-10-07 03:59:28 install libmpfr6:amd64 <none> 4.2.0-1
2024-10-07 03:59:28 status half-installed libmpfr6:amd64 4.2.0-1
2024-10-07 03:59:29 status unpacked libmpfr6:amd64 4.2.0-1
2024-10-07 03:59:29 install libmpc3:amd64 <none> 1.3.1-1
2024-10-07 03:59:29 status half-installed libmpc3:amd64 1.3.1-1
2024-10-07 03:59:29 status unpacked libmpc3:amd64 1.3.1-1
2024-10-07 03:59:29 install cpp-12:amd64 <none> 12.2.0-14
2024-10-07 03:59:29 status half-installed cpp-12:amd64 12.2.0-14
2024-10-07 03:59:32 status unpacked cpp-12:amd64 12.2.0-14
2024-10-07 03:59:32 install cpp:amd64 <none> 4:12.2.0-3
2024-10-07 03:59:32 status half-installed cpp:amd64 4:12.2.0-3
2024-10-07 03:59:32 status unpacked cpp:amd64 4:12.2.0-3
2024-10-07 03:59:33 install libcc1-0:amd64 <none> 12.2.0-14
2024-10-07 03:59:33 status half-installed libcc1-0:amd64 12.2.0-14
2024-10-07 03:59:33 status unpacked libcc1-0:amd64 12.2.0-14
2024-10-07 03:59:33 install libgomp1:amd64 <none> 12.2.0-14
2024-10-07 03:59:33 status half-installed libgomp1:amd64 12.2.0-14
2024-10-07 03:59:33 status unpacked libgomp1:amd64 12.2.0-14
2024-10-07 03:59:33 install libitm1:amd64 <none> 12.2.0-14
2024-10-07 03:59:33 status half-installed libitm1:amd64 12.2.0-14
2024-10-07 03:59:33 status unpacked libitm1:amd64 12.2.0-14
2024-10-07 03:59:34 install libatomic1:amd64 <none> 12.2.0-14
2024-10-07 03:59:34 status half-installed libatomic1:amd64 12.2.0-14
2024-10-07 03:59:34 status unpacked libatomic1:amd64 12.2.0-14
2024-10-07 03:59:34 install libasan8:amd64 <none> 12.2.0-14
2024-10-07 03:59:34 status half-installed libasan8:amd64 12.2.0-14
2024-10-07 03:59:35 status unpacked libasan8:amd64 12.2.0-14
2024-10-07 03:59:35 install liblsan0:amd64 <none> 12.2.0-14
2024-10-07 03:59:35 status half-installed liblsan0:amd64 12.2.0-14
2024-10-07 03:59:35 status unpacked liblsan0:amd64 12.2.0-14
2024-10-07 03:59:36 install libtsan2:amd64 <none> 12.2.0-14
2024-10-07 03:59:36 status half-installed libtsan2:amd64 12.2.0-14
2024-10-07 03:59:37 status unpacked libtsan2:amd64 12.2.0-14
2024-10-07 03:59:37 install libubsan1:amd64 <none> 12.2.0-14
2024-10-07 03:59:37 status half-installed libubsan1:amd64 12.2.0-14
2024-10-07 03:59:37 status unpacked libubsan1:amd64 12.2.0-14
2024-10-07 03:59:37 install libquadmath0:amd64 <none> 12.2.0-14
2024-10-07 03:59:37 status half-installed libquadmath0:amd64 12.2.0-14
2024-10-07 03:59:37 status unpacked libquadmath0:amd64 12.2.0-14
2024-10-07 03:59:38 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-10-07 03:59:38 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-10-07 03:59:39 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-10-07 03:59:39 install gcc-12:amd64 <none> 12.2.0-14
2024-10-07 03:59:39 status half-installed gcc-12:amd64 12.2.0-14
2024-10-07 03:59:42 status unpacked gcc-12:amd64 12.2.0-14
2024-10-07 03:59:42 install gcc:amd64 <none> 4:12.2.0-3
2024-10-07 03:59:42 status half-installed gcc:amd64 4:12.2.0-3
2024-10-07 03:59:42 status unpacked gcc:amd64 4:12.2.0-3
2024-10-07 03:59:42 install libstdc++-12-dev:amd64 <none> 12.2.0-14
2024-10-07 03:59:42 status half-installed libstdc++-12-dev:amd64 12.2.0-14
2024-10-07 03:59:43 status unpacked libstdc++-12-dev:amd64 12.2.0-14
2024-10-07 03:59:44 install g++-12:amd64 <none> 12.2.0-14
2024-10-07 03:59:44 status half-installed g++-12:amd64 12.2.0-14
2024-10-07 03:59:47 status unpacked g++-12:amd64 12.2.0-14
2024-10-07 03:59:47 install g++:amd64 <none> 4:12.2.0-3
2024-10-07 03:59:47 status half-installed g++:amd64 4:12.2.0-3
2024-10-07 03:59:47 status unpacked g++:amd64 4:12.2.0-3
2024-10-07 03:59:47 install make:amd64 <none> 4.3-4.1
2024-10-07 03:59:47 status half-installed make:amd64 4.3-4.1
2024-10-07 03:59:47 status unpacked make:amd64 4.3-4.1
2024-10-07 03:59:48 install libdpkg-perl:all <none> 1.21.22
2024-10-07 03:59:48 status half-installed libdpkg-perl:all 1.21.22
2024-10-07 03:59:48 status unpacked libdpkg-perl:all 1.21.22
2024-10-07 03:59:48 install patch:amd64 <none> 2.7.6-7
2024-10-07 03:59:48 status half-installed patch:amd64 2.7.6-7
2024-10-07 03:59:48 status unpacked patch:amd64 2.7.6-7
2024-10-07 03:59:49 install dpkg-dev:all <none> 1.21.22
2024-10-07 03:59:49 status half-installed dpkg-dev:all 1.21.22
2024-10-07 03:59:49 status unpacked dpkg-dev:all 1.21.22
2024-10-07 03:59:49 install build-essential:amd64 <none> 12.9
2024-10-07 03:59:49 status half-installed build-essential:amd64 12.9
2024-10-07 03:59:49 status unpacked build-essential:amd64 12.9
2024-10-07 03:59:50 install libassuan0:amd64 <none> 2.5.5-5
2024-10-07 03:59:50 status half-installed libassuan0:amd64 2.5.5-5
2024-10-07 03:59:50 status unpacked libassuan0:amd64 2.5.5-5
2024-10-07 03:59:50 install gpgconf:amd64 <none> 2.2.40-1.1
2024-10-07 03:59:50 status half-installed gpgconf:amd64 2.2.40-1.1
2024-10-07 03:59:50 status unpacked gpgconf:amd64 2.2.40-1.1
2024-10-07 03:59:50 install libksba8:amd64 <none> 1.6.3-2
2024-10-07 03:59:50 status half-installed libksba8:amd64 1.6.3-2
2024-10-07 03:59:50 status unpacked libksba8:amd64 1.6.3-2
2024-10-07 03:59:51 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-10-07 03:59:51 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
