2024-09-04 22:55:01 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-09-04 22:55:01 install libsqlite3-0:amd64 <none> 3.40.1-2
2024-09-04 22:55:01 status half-installed libsqlite3-0:amd64 3.40.1-2
2024-09-04 22:55:01 status unpacked libsqlite3-0:amd64 3.40.1-2
2024-09-04 22:55:01 install gpg:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpg:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gpg:amd64 2.2.40-1.1
2024-09-04 22:55:01 install libncursesw6:amd64 <none> 6.4-4
2024-09-04 22:55:01 status half-installed libncursesw6:amd64 6.4-4
2024-09-04 22:55:01 status unpacked libncursesw6:amd64 6.4-4
2024-09-04 22:55:01 install pinentry-curses:amd64 <none> 1.2.1-1
2024-09-04 22:55:01 status half-installed pinentry-curses:amd64 1.2.1-1
2024-09-04 22:55:01 status unpacked pinentry-curses:amd64 1.2.1-1
2024-09-04 22:55:01 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-09-04 22:55:01 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-09-04 22:55:01 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 22:55:01 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-09-04 22:55:01 install gpgsm:amd64 <none> 2.2.40-1.1
2024-09-04 22:55:01 status half-installed gpgsm:amd64 2.2.40-1.1
2024-09-04 22:55:02 status unpacked gpgsm:amd64 2.2.40-1.1
2024-09-04 22:55:02 install gnupg:all <none> 2.2.40-1.1
2024-09-04 22:55:02 status half-installed gnupg:all 2.2.40-1.1
2024-09-04 22:55:02 status unpacked gnupg:all 2.2.40-1.1
2024-09-04 22:55:02 install sq:amd64 <none> 0.27.0-2+b1
2024-09-04 22:55:02 status half-installed sq:amd64 0.27.0-2+b1
2024-09-04 22:55:02 status unpacked sq:amd64 0.27.0-2+b1
2024-09-04 22:55:02 startup packages configure
2024-09-04 22:55:02 configure libksba8:amd64 1.6.3-2 <none>
2024-09-04 22:55:02 status unpacked libksba8:amd64 1.6.3-2
2024-09-04 22:55:02 status half-configured libksba8:amd64 1.6.3-2
2024-09-04 22:55:02 status installed libksba8:amd64 1.6.3-2
2024-09-04 22:55:02 configure libkeyutils1:amd64 1.6.3-2 <none>
2024-09-04 22:55:02 status unpacked libkeyutils1:amd64 1.6.3-2
2024-09-04 22:55:02 status half-configured libkeyutils1:amd64 1.6.3-2
2024-09-04 22:55:02 status installed libkeyutils1:amd64 1.6.3-2
2024-09-04 22:55:02 configure libpsl5:amd64 0.21.2-1 <none>
2024-09-04 22:55:02 status unpacked libpsl5:amd64 0.21.2-1
2024-09-04 22:55:02 status half-configured libpsl5:amd64 0.21.2-1
2024-09-04 22:55:02 status installed libpsl5:amd64 0.21.2-1
2024-09-04 22:55:02 configure wget:amd64 1.21.3-1+b2 <none>
2024-09-04 22:55:02 status unpacked wget:amd64 1.21.3-1+b2
